Cat1,AvgS1,M1,Co1,Cat2,AvgS2,M2,Co2,Cat3,AvgS3,M3,Co3,Cat4,AvgS4,M4,Co4,NumDeg,NumCertf,NumJobs,AverageMonths
Marketing,50436.77654,6,0,Executive,123893.3069,27,0,Executive,123893.3069,43,1,Other,53085.31717,64,1,3,3,4,35
Marketing,50000,7,1,Marketing,28522.5,6,1,Marketing,50436.77654,10,0,Sales,47142.92286,15,0,3,3,4,9.5
Marketing,50436.77654,74,1,Executive,123893.3069,9,1,Executive,123893.3069,9,1,IT,69783.6369,30,1,3,3,4,30.5
Marketing,50436.77654,16,1,IT,69783.6369,10,1,Management,79819.50204,14,0,Operations,69434.83383,13,0,3,3,4,13.25
Other,53085.31717,25,1,Other,53085.31717,6,0,Unemployed,0,0,0,Unemployed,0,0,0,3,3,2,7.75
Management,79819.50204,23,1,Management,79819.50204,66,1,Management,79819.50204,30,0,Management,79819.50204,86,0,3,3,4,51.25
Management,79819.50204,5,1,Operations,69434.83383,35,1,Management,79819.50204,13,0,Finance,60991.45474,12,1,1,1,4,16.25
Management,79819.50204,4,1,Unemployed,0,16,1,Service,37263.83653,32,1,Academia,63461.28125,4,1,1,1,4,14
Management,79819.50204,15,1,Management,79819.50204,26,1,HR,51182.90816,59,1,Executive,123893.3069,28,0,2,1,4,32
Management,79819.50204,15,1,Management,79819.50204,26,1,HR,51182.90816,59,1,Executive,123893.3069,28,0,2,1,4,32
Management,79819.50204,15,1,HR,51182.90816,19,1,HR,51182.90816,39,1,HR,51182.90816,13,1,2,1,4,21.5
Management,79819.50204,12,1,Management,79819.50204,107,0,Unemployed,0,0,0,Unemployed,0,0,0,3,1,2,29.75
Management,79819.50204,31,1,IT,69783.6369,116,1,IT,69783.6369,16,0,Management,79819.50204,76,0,1,1,4,59.75
Management,134709.3514,238,0,Unemployed,0,0,0,Unemployed,0,0,0,Unemployed,0,0,0,1,1,1,59.5
Management,134709.3514,238,0,Unemployed,0,0,0,Unemployed,0,0,0,Unemployed,0,0,0,1,1,1,59.5
Management,134709.3514,88,0,Unemployed,0,0,0,Unemployed,0,0,0,Unemployed,0,0,0,0,1,1,22
Management,134709.3514,24,1,Finance,69458.75,21,1,Management,79819.50204,4,1,Finance,60991.45474,28,1,2,1,4,19.25
Management,134709.3514,24,1,Finance,69458.75,21,1,Management,79819.50204,4,1,Finance,60991.45474,28,1,2,1,4,19.25
Management,134709.3514,372,0,Other,53085.31717,60,0,Other,53085.31717,48,0,Unemployed,0,0,0,1,1,3,120
Management,134709.3514,372,0,Other,53085.31717,60,0,Other,53085.31717,48,0,Unemployed,0,0,0,1,1,3,120
Management,134709.3514,23,1,Management,89985.33333,84,1,Finance,60991.45474,120,0,Finance,60991.45474,44,0,3,3,4,67.75
Management,134709.3514,32,1,Executive,123893.3069,33,1,Management,79819.50204,101,0,Consultant,78074.16822,3,1,3,2,4,42.25
Management,134709.3514,45,1,Executive,123893.3069,23,1,Executive,123893.3069,79,0,Management,134709.3514,75,0,3,3,4,55.5
Management,134709.3514,47,0,Management,79819.50204,53,1,Consultant,78074.16822,70,1,Other,53085.31717,61,0,3,3,4,57.75
Management,134709.3514,7,0,Management,134709.3514,12,1,Consultant,78074.16822,25,1,Government,66054,5,1,3,3,4,12.25
Management,134709.3514,43,1,IT,69783.6369,41,1,Finance,60991.45474,28,0,Unemployed,0,1,0,3,3,4,28.25
Management,134709.3514,105,1,HR,51182.90816,101,1,Management,79819.50204,136,1,Unemployed,0,0,0,1,1,3,85.5
Management,134709.3514,29,0,Management,134709.3514,6,0,Management,79819.50204,35,0,Unemployed,0,0,0,1,1,3,17.5
Management,134709.3514,29,0,Management,134709.3514,6,0,Management,79819.50204,35,0,Unemployed,0,0,0,1,1,3,17.5
Management,134709.3514,14,1,Other,53085.31717,145,1,Management,79819.50204,34,1,Management,73118.3913,24,1,3,3,4,54.25
Management,134709.3514,73,0,Executive,123893.3069,25,1,Government,78213.325,26,1,Executive,123893.3069,59,0,3,1,4,45.75
Management,134709.3514,26,1,Management,134709.3514,38,1,Executive,123893.3069,47,1,Other,24135.01587,7,0,3,3,4,29.5
Management,134709.3514,1,1,Other,53085.31717,17,0,Executive,123893.3069,78,0,Executive,123893.3069,22,0,3,3,4,29.5
Management,134709.3514,3,1,Executive,123893.3069,5,1,Academia,63461.28125,13,1,Operations,69434.83383,23,0,3,3,4,11
Management,134709.3514,149,0,HR,51182.90816,92,0,Executive,123893.3069,9,1,HR,51182.90816,36,1,3,1,4,71.5
Management,134709.3514,25,1,Executive,123893.3069,142,0,Executive,123893.3069,20,0,Management,79819.50204,120,0,3,3,4,76.75
Management,134709.3514,348,0,Academia,63461.28125,36,0,Academia,63461.28125,117,1,Academia,63461.28125,10,1,1,1,4,127.75
Management,134709.3514,114,0,Executive,123893.3069,164,0,IT,69783.6369,18,0,Service,37263.83653,4,0,2,1,4,75
Management,134709.3514,70,1,Management,79819.50204,7,0,Management,79819.50204,23,0,Other,53085.31717,28,1,3,3,4,32
Management,134709.3514,178,1,Other,53085.31717,6,0,Unemployed,0,0,0,Unemployed,0,0,0,3,3,2,46
Management,134709.3514,1,1,Executive,123893.3069,3,1,Executive,123893.3069,72,0,Executive,123893.3069,21,1,1,1,4,24.25
Management,134709.3514,11,1,Other,53085.31717,24,0,Finance,60991.45474,11,0,Other,49692,9,0,3,3,4,13.75
Management,134709.3514,6,1,Management,79819.50204,32,1,Executive,123893.3069,48,1,Management,77657,16,1,3,3,4,25.5
Management,134709.3514,34,1,IT,69783.6369,30,1,IT,69783.6369,83,1,Other,64280,99,1,2,1,4,61.5
Management,134709.3514,34,1,IT,69783.6369,30,1,IT,69783.6369,83,1,Other,64280,99,1,2,1,4,61.5
Management,134709.3514,85,0,Other,53085.31717,63,1,Management,79819.50204,23,1,Management,79819.50204,35,1,3,3,4,51.5
Management,134709.3514,2,1,Management,79819.50204,3,1,IT,69783.6369,10,0,IT,69783.6369,57,1,2,3,4,18
Management,134709.3514,18,1,IT,77809.25949,7,1,IT,69783.6369,7,1,Executive,123893.3069,93,0,3,3,4,31.25
Management,134709.3514,43,0,Service,37263.83653,41,0,Executive,123893.3069,40,0,Service,37263.83653,28,0,3,3,4,38
Management,134709.3514,30,1,Service,45085.5,27,1,Executive,123893.3069,81,0,Executive,123893.3069,20,1,2,1,4,39.5
Management,134709.3514,67,1,IT,69783.6369,17,1,Executive,123893.3069,136,1,Management,35386,16,1,3,3,4,59
Management,79819.50204,100,1,Executive,123893.3069,11,0,Executive,123893.3069,27,1,Unemployed,0,0,0,1,1,3,34.5
Management,79819.50204,12,1,Management,79819.50204,7,0,Executive,123893.3069,15,1,Unemployed,0,0,0,1,1,3,8.5
Management,79819.50204,100,1,Management,79819.50204,50,0,Management,79819.50204,16,0,IT,69783.6369,64,0,3,3,4,57.5
Management,79819.50204,19,1,Executive,123893.3069,50,0,Management,79819.50204,38,0,Unemployed,0,0,0,3,3,3,26.75
Management,79819.50204,68,0,Finance,60991.45474,20,0,Finance,60991.45474,13,0,Other,53085.31717,31,0,3,3,4,33
Management,79819.50204,10,1,IT,69783.6369,31,1,HR,51182.90816,21,1,Management,79819.50204,9,1,3,2,4,17.75
Management,79819.50204,18,1,Sales,47142.92286,9,1,Executive,123893.3069,152,0,Management,79819.50204,60,1,3,3,4,59.75
Management,79819.50204,34,0,Management,79819.50204,11,0,Management,79819.50204,15,0,Finance,60991.45474,24,0,2,1,4,21
Management,79819.50204,34,0,Management,79819.50204,11,0,Management,79819.50204,15,0,Finance,60991.45474,24,0,2,1,4,21
Management,79819.50204,14,1,Marketing,50436.77654,24,1,Management,79819.50204,29,1,Marketing,50436.77654,55,1,3,3,4,30.5
Management,79819.50204,9,1,Management,79819.50204,13,1,Management,79819.50204,33,1,Management,79819.50204,15,1,3,2,4,17.5
Management,79819.50204,156,1,Management,79819.50204,63,0,Government,78213.325,33,0,Other,53085.31717,41,0,1,1,4,73.25
Management,79819.50204,41,1,IT,69783.6369,6,1,Management,79819.50204,24,0,Other,53085.31717,10,0,3,3,4,20.25
Management,79819.50204,20,0,Management,79819.50204,41,1,Operations,69434.83383,56,1,Management,79819.50204,46,1,3,3,4,40.75
Management,79819.50204,32,1,Management,79819.50204,35,1,Academia,63461.28125,3,1,Marketing,50436.77654,53,0,3,3,4,30.75
Management,79819.50204,47,1,IT,69783.6369,69,0,Unemployed,0,0,0,Unemployed,0,0,0,1,1,2,29
Management,79819.50204,25,1,Management,79819.50204,5,1,Marketing,50436.77654,15,1,Sales,60877.01504,14,1,3,3,4,14.75
Management,79819.50204,8,1,Management,47724.66667,39,0,Executive,123893.3069,22,0,Unemployed,0,0,0,2,1,3,17.25
Management,79819.50204,41,1,Other,53085.31717,54,1,Executive,123893.3069,39,1,Other,53085.31717,147,1,3,3,4,70.25
Management,79819.50204,31,1,Management,79819.50204,53,1,Executive,123893.3069,13,1,Sales,47142.92286,3,1,3,3,4,25
Management,79819.50204,5,0,Management,79819.50204,12,0,Sales,47142.92286,5,0,Sales,47142.92286,15,1,3,3,4,9.25
Management,79819.50204,139,0,Management,79819.50204,29,0,Management,79819.50204,76,0,Unemployed,0,0,0,3,3,3,61
Management,79819.50204,28,1,HR,51182.90816,65,1,HR,51182.90816,118,1,IT,60629.16667,44,1,3,3,4,63.75
Management,72154.5,1,0,Operations,79714,16,1,Management,79819.50204,48,1,Management,79819.50204,84,0,3,3,4,37.25
Management,72154.5,104,1,Sales,47142.92286,55,0,Management,79819.50204,5,0,IT,69783.6369,23,0,3,3,4,46.75
Management,72154.5,91,1,Executive,123893.3069,209,1,Other,53085.31717,40,1,Unemployed,0,0,0,3,3,3,85
Management,72154.5,18,1,Sales,47142.92286,37,1,Executive,123893.3069,216,0,HR,51182.90816,72,1,3,3,4,85.75
Management,72154.5,54,0,Management,79819.50204,56,0,Management,79819.50204,97,0,Management,79819.50204,10,0,3,3,4,54.25
Management,79819.50204,17,0,Management,79819.50204,34,1,Operations,69434.83383,57,1,HR,51182.90816,8,0,3,3,4,29
Management,130480,73,1,Management,77657,24,0,Management,79819.50204,37,0,IT,69783.6369,121,1,3,3,4,63.75
Management,130480,9,1,IT,69783.6369,9,1,IT,69783.6369,12,1,Executive,123893.3069,4,1,3,3,4,8.5
Management,130480,35,1,Management,79819.50204,12,1,Management,79819.50204,28,1,Engineering,80355.55556,9,1,2,3,4,21
Management,79819.50204,25,1,IT,113588.5,21,1,Other,53085.31717,2,1,Finance,73591.75926,27,1,1,2,4,18.75
Management,79819.50204,37,1,IT,72056.13043,33,1,IT,69783.6369,31,1,IT,77809.25949,14,1,3,3,4,28.75
Management,84541,23,1,Other,53085.31717,20,1,Consultant,78074.16822,3,1,Management,79819.50204,11,0,2,1,4,14.25
Management,79819.50204,18,1,Management,79819.50204,6,1,Marketing,50436.77654,15,1,HR,51182.90816,7,0,3,2,4,11.5
Management,79819.50204,53,0,Management,79819.50204,10,1,Management,79819.50204,16,0,Management,79819.50204,52,0,2,1,4,32.75
Management,79819.50204,76,1,Academia,63461.28125,111,1,Management,79819.50204,5,1,Executive,123893.3069,39,1,2,1,4,57.75
Management,79819.50204,24,1,HR,88303,43,1,HR,51182.90816,11,1,Unemployed,0,0,0,3,3,3,19.5
Management,79819.50204,228,0,Management,79819.50204,228,0,Other,53085.31717,166,1,Other,20900,63,1,3,3,4,171.25
Management,79819.50204,19,1,Management,79819.50204,175,1,IT,69783.6369,12,0,Other,53085.31717,16,0,1,1,4,55.5
Management,79819.50204,46,1,Management,133681,56,0,Other,53085.31717,59,0,Other,52487.5,59,0,3,3,4,55
Management,39900,11,1,Government,78213.325,16,1,Other,53085.31717,14,1,Marketing,50436.77654,15,1,3,3,4,14
Management,79819.50204,2,1,Management,79819.50204,35,1,Marketing,50436.77654,10,1,Management,79819.50204,11,1,3,3,4,14.5
Management,79819.50204,92,1,Operations,85551.22727,4,1,Management,79819.50204,31,1,Management,79819.50204,15,1,2,1,4,35.5
Management,79819.50204,92,1,Operations,85551.22727,4,1,Management,79819.50204,31,1,Management,79819.50204,15,1,2,1,4,35.5
Management,127649,39,1,Management,91168.6,38,0,Executive,123893.3069,15,0,Management,91168.6,34,0,2,1,4,31.5
Management,127649,134,1,Management,79819.50204,47,1,Management,79819.50204,28,1,Operations,82979.71429,16,1,3,3,4,56.25
Management,127649,34,1,Admin,51802.85714,21,1,Marketing,50436.77654,22,1,Admin,51802.85714,28,1,3,3,4,26.25
Management,127649,43,0,Executive,123893.3069,191,0,Unemployed,0,0,0,Unemployed,0,0,0,3,3,2,58.5
Management,127649,6,1,Management,79819.50204,18,0,Operations,69434.83383,14,0,Management,79819.50204,37,0,1,1,4,18.75
Management,127649,112,0,Marketing,50436.77654,8,1,Other,53085.31717,8,1,Unemployed,0,0,0,1,1,3,32
Management,127649,17,1,Management,79819.50204,14,1,Management,79819.50204,84,0,Management,46892.07895,12,0,3,3,4,31.75
Management,79819.50204,70,1,Management,79819.50204,6,1,HR,51182.90816,15,1,Sales,47142.92286,42,0,3,3,4,33.25
Management,79819.50204,41,1,Sales,47142.92286,49,1,Management,79819.50204,133,1,Other,53085.31717,225,0,2,1,4,112
Management,79819.50204,76,1,Management,79819.50204,82,0,Executive,123893.3069,53,0,Unemployed,0,0,0,3,3,3,52.75
Management,79819.50204,10,0,Management,79819.50204,26,1,Management,79819.50204,130,1,Executive,123893.3069,70,1,3,3,4,59
Management,79819.50204,44,1,Management,79819.50204,5,1,Service,37263.83653,3,1,Service,70010.38462,10,1,3,3,4,15.5
Management,79819.50204,11,1,Management,79819.50204,12,1,Management,79819.50204,32,1,Executive,123893.3069,9,1,2,1,4,16
Management,79819.50204,24,1,IT,69783.6369,181,0,IT,69783.6369,71,0,Service,37263.83653,38,0,0,1,4,78.5
Management,227523,29,1,Management,227523,41,1,Management,79819.50204,64,1,Sales,90030.76923,40,1,3,3,4,43.5
Management,79819.50204,151,1,Sales,47142.92286,4,0,Management,79819.50204,11,1,Other,53085.31717,43,1,3,3,4,52.25
Management,79819.50204,16,1,Management,79819.50204,5,1,Management,79819.50204,13,1,HR,51182.90816,24,1,3,3,4,14.5
Management,79819.50204,18,1,Management,79819.50204,28,0,Management,79819.50204,28,1,HR,51182.90816,41,0,3,3,4,28.75
Management,79819.50204,63,1,Sales,60877.01504,29,1,Other,53085.31717,25,1,Unemployed,0,0,0,3,3,3,29.25
Management,79819.50204,52,1,Management,79819.50204,29,1,IT,69783.6369,3,1,Executive,123893.3069,86,1,3,3,4,42.5
Management,79819.50204,31,0,Management,79819.50204,10,1,Other,53085.31717,13,1,Management,79819.50204,5,1,3,3,4,14.75
Management,79819.50204,10,1,Operations,69434.83383,25,1,Management,79819.50204,13,1,Admin,51794.60833,14,1,3,3,4,15.5
Management,79819.50204,37,0,Management,79819.50204,86,0,Management,79819.50204,35,1,Management,115416.6429,162,1,3,3,4,80
Management,79819.50204,9,1,Management,79819.50204,101,1,IT,69783.6369,35,0,Other,53085.31717,6,0,1,3,4,37.75
Management,79819.50204,42,1,Unemployed,0,56,1,Executive,123893.3069,52,0,Other,53085.31717,166,0,2,1,4,79
Management,79819.50204,3,1,Other,53085.31717,6,0,Finance,60991.45474,49,1,Executive,123893.3069,11,1,2,1,4,17.25
Management,79819.50204,2,1,IT,69783.6369,123,1,Other,53085.31717,19,0,Management,79819.50204,35,0,3,3,4,44.75
Management,79819.50204,26,1,Management,79819.50204,34,1,Management,79819.50204,16,1,Executive,123893.3069,33,1,3,3,4,27.25
Management,103680,76,1,Management,26600,25,1,Executive,123893.3069,8,1,Other,53085.31717,24,0,3,3,4,33.25
Management,79819.50204,25,1,IT,69783.6369,7,1,IT,69783.6369,24,1,IT,69783.6369,28,1,2,2,4,21
Management,79819.50204,7,1,Management,79819.50204,21,1,Management,79819.50204,11,1,Executive,123893.3069,9,1,3,3,4,12
Management,79819.50204,44,0,HR,51182.90816,31,1,HR,51182.90816,25,1,Other,53085.31717,87,1,2,1,4,46.75
Management,79819.50204,38,0,IT,69783.6369,21,1,Unemployed,0,0,0,Unemployed,0,0,0,1,1,2,14.75
Management,79819.50204,38,0,IT,69783.6369,21,1,Unemployed,0,0,0,Unemployed,0,0,0,1,1,2,14.75
Management,79819.50204,11,1,Management,79819.50204,3,1,Operations,69434.83383,8,1,Operations,69434.83383,14,1,3,3,4,9
Management,79819.50204,16,1,Management,79819.50204,68,0,Management,79819.50204,38,0,Unemployed,0,0,0,1,1,3,30.5
Management,79819.50204,16,1,Management,79819.50204,68,0,Management,79819.50204,38,0,Unemployed,0,0,0,1,1,3,30.5
Management,79819.50204,25,1,Executive,123893.3069,34,0,Engineering,81584.97869,34,1,IT,69783.6369,103,1,3,3,4,49
Management,79819.50204,238,0,Management,79819.50204,32,0,Management,79819.50204,45,0,Other,53085.31717,93,0,3,3,4,102
Management,79819.50204,9,1,Management,79819.50204,8,1,Consultant,78074.16822,10,1,HR,51182.90816,3,1,3,1,4,7.5
Management,79819.50204,8,1,Other,53085.31717,45,1,IT,69783.6369,134,0,HR,51182.90816,2,0,3,3,4,47.25
Management,79819.50204,31,1,IT,69783.6369,142,0,Operations,69434.83383,15,0,Consultant,94355.72727,52,0,3,3,4,60
Management,79819.50204,78,1,Management,79819.50204,16,0,Management,79819.50204,63,0,Management,79819.50204,40,1,3,3,4,49.25
Management,79819.50204,11,1,Management,79819.50204,30,1,Executive,123893.3069,17,1,Management,79819.50204,53,0,3,3,4,27.75
Management,79819.50204,5,1,Executive,123893.3069,93,1,Management,79819.50204,19,1,Management,79819.50204,52,1,3,3,4,42.25
Management,79819.50204,22,0,Sales,47142.92286,255,0,Unemployed,0,0,0,Unemployed,0,0,0,3,3,2,69.25
Management,79819.50204,36,1,Management,79819.50204,101,1,Management,79819.50204,28,1,Management,107588,76,1,3,3,4,60.25
Management,79819.50204,9,1,Other,53085.31717,13,1,Management,79819.50204,60,0,Marketing,50436.77654,12,0,3,3,4,23.5
Management,79819.50204,26,1,Executive,116258.75,62,1,Management,79819.50204,18,1,Management,79819.50204,7,1,3,3,4,28.25
Management,79819.50204,23,1,Other,53085.31717,37,1,Sales,47142.92286,68,1,Management,79819.50204,28,1,3,3,4,39
Management,79819.50204,61,1,Management,79819.50204,77,0,Management,79819.50204,105,1,IT,69783.6369,143,0,3,3,4,96.5
Management,79819.50204,63,1,Government,78213.325,6,1,Management,79819.50204,28,1,Management,79819.50204,15,1,2,1,4,28
Management,79819.50204,223,1,Management,79819.50204,29,0,Academia,63461.28125,124,1,Unemployed,0,0,0,3,3,3,94
Management,79819.50204,23,1,Management,79819.50204,46,0,Management,79819.50204,12,1,Management,79819.50204,24,0,3,3,4,26.25
Management,79819.50204,3,1,Management,79819.50204,9,1,Management,79819.50204,11,1,Executive,123893.3069,73,1,3,3,4,24
Management,79819.50204,67,1,Management,79819.50204,17,0,Management,79819.50204,8,0,Management,79819.50204,15,1,3,3,4,26.75
Management,79819.50204,49,1,IT,69783.6369,17,1,Consultant,78074.16822,3,1,Management,89985.33333,61,0,3,3,4,32.5
Management,79819.50204,10,1,Operations,82979.71429,9,1,Marketing,50436.77654,4,1,Management,127649,9,1,2,1,4,8
Management,79819.50204,10,1,Operations,82979.71429,9,1,Marketing,50436.77654,4,1,Management,127649,9,1,2,1,4,8
Management,79819.50204,11,1,Management,79819.50204,18,1,Management,79819.50204,19,0,Management,79819.50204,8,0,3,3,4,14
Management,79819.50204,65,0,Finance,93858,103,0,Finance,60991.45474,61,0,Service,37263.83653,19,1,3,3,4,62
Management,79819.50204,4,1,Management,79819.50204,30,1,Management,79819.50204,65,1,Other,53085.31717,2,1,3,3,4,25.25
Management,79819.50204,122,0,Other,53085.31717,25,0,HR,51182.90816,33,0,HR,55631.66667,38,0,3,3,4,54.5
Management,79819.50204,11,1,Management,79819.50204,22,1,Executive,123893.3069,10,1,Executive,123893.3069,20,1,2,1,4,15.75
Management,79819.50204,9,1,Management,79819.50204,2,1,Management,79819.50204,6,0,IT,75042,3,0,3,2,4,5
Management,79819.50204,73,1,Other,53085.31717,12,1,IT,69783.6369,19,1,Other,53085.31717,21,1,2,3,4,31.25
Management,79819.50204,26,1,HR,88303,8,1,Other,53085.31717,22,1,HR,89936,12,1,3,3,4,17
Management,79819.50204,8,0,Sales,47142.92286,3,1,Sales,47142.92286,44,0,Management,79819.50204,104,0,3,3,4,39.75
Management,79819.50204,17,1,Marketing,66225.72727,16,1,Executive,123893.3069,15,1,Management,79819.50204,28,0,3,3,4,19
Management,79819.50204,7,1,Management,79819.50204,43,0,Management,79819.50204,29,1,Management,79819.50204,28,1,3,3,4,26.75
Management,79819.50204,35,1,Academia,69805,40,0,Marketing,50436.77654,23,1,Management,133681,11,1,3,3,4,27.25
Management,79819.50204,21,1,Management,79819.50204,81,0,Marketing,50436.77654,25,1,Management,79819.50204,20,0,3,3,4,36.75
Management,79819.50204,103,1,Management,79819.50204,125,0,Unemployed,0,0,0,Unemployed,0,0,0,3,3,2,57
Management,79819.50204,7,0,Marketing,50436.77654,1,1,Marketing,50436.77654,6,1,Executive,123893.3069,32,1,3,3,4,11.5
Management,79819.50204,46,1,Marketing,50436.77654,73,1,Management,79819.50204,70,0,Management,79819.50204,23,0,3,3,4,53
Management,79819.50204,3,0,Management,79819.50204,10,0,Management,79819.50204,40,0,Executive,123893.3069,152,0,3,3,4,51.25
Management,79819.50204,137,0,Management,79819.50204,94,0,Management,79819.50204,32,0,Unemployed,0,0,0,3,3,3,65.75
Management,79819.50204,9,1,Management,79819.50204,48,1,Management,79819.50204,143,0,IT,69783.6369,133,1,3,3,4,83.25
Management,84335,14,1,Management,79819.50204,21,1,Management,79819.50204,24,0,Management,79819.50204,20,1,3,3,4,19.75
Management,84335,6,1,Management,79819.50204,13,1,Management,79819.50204,24,1,Sales,47142.92286,5,1,3,3,4,12
Management,79819.50204,1,1,Management,79819.50204,6,1,Management,79819.50204,24,1,Marketing,77646.54545,6,1,3,1,4,9.25
Management,79819.50204,47,0,Management,79819.50204,42,1,Management,79819.50204,9,0,Unemployed,0,0,0,1,1,3,24.5
Management,79819.50204,59,1,Management,79819.50204,109,0,Government,78213.325,7,0,Government,78213.325,87,1,2,1,4,65.5
Management,79819.50204,56,1,Other,53085.31717,49,1,Finance,60991.45474,39,1,Management,79819.50204,13,1,2,1,4,39.25
Management,79819.50204,19,1,Management,79819.50204,17,1,Management,79819.50204,13,1,Finance,60991.45474,45,0,3,3,4,23.5
Management,79819.50204,16,1,Management,79819.50204,72,0,Management,79819.50204,8,1,Management,79819.50204,48,1,3,3,4,36
Management,79819.50204,97,1,Finance,93858,35,1,Unemployed,0,36,1,Finance,60991.45474,13,1,3,3,4,45.25
Management,79819.50204,25,1,Executive,123893.3069,68,0,Other,53085.31717,36,1,Sales,47142.92286,43,0,3,3,4,43
Management,79819.50204,15,1,Management,79819.50204,31,1,Marketing,50436.77654,48,1,Other,53085.31717,51,1,3,3,4,36.25
Management,79819.50204,7,1,Management,79819.50204,6,1,Management,79819.50204,25,1,HR,51182.90816,16,1,3,1,4,13.5
Management,79819.50204,16,1,Management,79819.50204,49,1,Management,79819.50204,155,1,Other,53085.31717,36,1,3,3,4,64
Management,79819.50204,113,0,IT,69783.6369,50,1,Finance,60991.45474,23,1,Sales,47142.92286,20,1,3,3,4,51.5
Management,79819.50204,113,0,Management,79819.50204,139,0,Management,79819.50204,54,0,Executive,123893.3069,16,0,3,3,4,80.5
Management,79819.50204,61,1,HR,51182.90816,45,1,Consultant,78074.16822,16,0,Management,79819.50204,8,1,2,1,4,32.5
Management,79819.50204,11,1,Executive,123893.3069,30,1,Other,53085.31717,83,1,HR,51182.90816,21,1,3,3,4,36.25
Management,79819.50204,18,1,Executive,123893.3069,28,1,Executive,123893.3069,39,0,Executive,123893.3069,57,0,2,1,4,35.5
Management,79819.50204,18,1,Executive,123893.3069,28,1,Executive,123893.3069,39,0,Executive,123893.3069,57,0,2,1,4,35.5
Management,79819.50204,8,1,HR,51182.90816,18,1,Executive,123893.3069,12,1,Management,79819.50204,6,1,3,3,4,11
Management,79819.50204,11,1,Management,79819.50204,13,1,HR,51182.90816,16,1,Management,79819.50204,25,1,2,1,4,16.25
Management,79819.50204,7,1,Management,79819.50204,12,1,HR,51182.90816,10,1,Management,79819.50204,24,1,1,1,4,13.25
Management,79819.50204,19,1,HR,51182.90816,81,1,Sales,47142.92286,40,1,Unemployed,0,0,0,1,1,3,35
Management,79819.50204,5,1,HR,51182.90816,11,1,HR,51182.90816,11,1,Other,53085.31717,6,0,2,3,4,8.25
Management,79819.50204,15,0,Sales,71366.9,7,1,Sales,47142.92286,21,1,Management,79819.50204,31,1,3,3,4,18.5
Management,79819.50204,17,0,Management,79819.50204,28,0,HR,51182.90816,69,0,HR,51182.90816,19,0,1,1,4,33.25
Management,79819.50204,7,1,HR,51182.90816,20,1,HR,51182.90816,77,1,HR,51182.90816,13,1,2,1,4,29.25
Management,79819.50204,18,1,Executive,123893.3069,14,1,Finance,60991.45474,7,1,IT,69783.6369,36,1,3,3,4,18.75
Management,79819.50204,6,1,HR,51182.90816,4,1,HR,51182.90816,13,1,IT,69783.6369,32,1,2,1,4,13.75
Management,79819.50204,5,1,Executive,123893.3069,12,1,Executive,123893.3069,13,1,Executive,123893.3069,17,1,1,1,4,11.75
Management,79819.50204,4,0,Executive,123893.3069,34,1,IT,69783.6369,78,1,Management,79819.50204,46,1,0,1,4,40.5
Management,79819.50204,19,1,Executive,123893.3069,35,1,Sales,47142.92286,7,1,Marketing,50436.77654,6,1,3,1,4,16.75
Management,79819.50204,88,1,Management,79819.50204,96,0,Unemployed,0,0,0,Unemployed,0,0,0,3,1,2,46
Management,79819.50204,7,1,Management,79819.50204,29,1,Other,53085.31717,17,1,Sales,47142.92286,23,1,2,1,4,19
Management,79819.50204,5,1,Management,79819.50204,24,0,HR,51182.90816,3,1,Management,79819.50204,26,1,2,1,4,14.5
Management,79819.50204,3,1,Management,79819.50204,13,1,HR,51182.90816,15,1,HR,51182.90816,13,1,3,1,4,11
Management,79819.50204,7,1,Management,79819.50204,4,1,HR,51182.90816,32,1,HR,51182.90816,12,1,2,1,4,13.75
Management,79819.50204,38,1,Management,79819.50204,47,1,Management,79819.50204,36,0,Management,79819.50204,60,0,3,3,4,45.25
Management,79819.50204,50,1,Management,79819.50204,29,0,IT,69783.6369,72,1,Management,79819.50204,28,0,2,1,4,44.75
Other,53085.31717,14,1,Management,79819.50204,140,1,Other,53085.31717,93,1,Other,53085.31717,90,1,3,3,4,84.25
Management,47724.66667,48,0,Management,46892.07895,58,0,Management,79819.50204,4,0,Other,53085.31717,52,0,3,3,4,40.5
Management,47724.66667,8,1,Management,47724.66667,38,0,Management,79819.50204,96,0,Management,77657,60,0,3,3,4,50.5
Management,47724.66667,19,1,Management,79819.50204,19,1,Management,79819.50204,100,1,Operations,69434.83383,10,1,3,3,4,37
Management,47724.66667,8,1,Management,79819.50204,60,1,Management,79819.50204,83,0,Management,47724.66667,88,0,3,3,4,59.75
Management,47724.66667,12,1,Management,46892.07895,51,0,Marketing,50436.77654,32,0,Other,28500,23,1,3,3,4,29.5
Management,47724.66667,9,1,Management,79819.50204,65,1,Management,79819.50204,42,0,Other,30400,15,0,3,3,4,32.75
Academia,63461.28125,16,1,Finance,60991.45474,23,1,Academia,63461.28125,11,1,Other,53085.31717,92,0,3,3,4,35.5
Government,78213.325,71,0,Executive,123893.3069,29,1,Unemployed,0,0,0,Unemployed,0,0,0,1,1,2,25
Other,53085.31717,25,1,Service,37263.83653,40,1,Other,53085.31717,9,0,Management,40508.28571,46,0,3,3,4,30
Other,53085.31717,6,1,Other,53085.31717,176,1,Management,79819.50204,317,0,Unemployed,0,0,0,3,3,3,124.75
